,0,1
282,0.4588951,0.5411049
283,0.9979048,0.0020952008
284,0.0866652,0.9133347
285,0.9956624,0.0043376284
286,0.10401554,0.8959845
287,0.80241007,0.19759001
288,0.62994254,0.37005746
289,0.040444992,0.959555
290,0.10579105,0.8942089
291,0.08668044,0.9133195
292,0.7340991,0.2659009
293,0.12133201,0.87866795
294,0.115815274,0.8841847
295,0.35675082,0.6432492
296,0.9699008,0.030099168
297,0.99525636,0.0047435695
298,0.9843985,0.015601521
299,0.13478784,0.86521214
300,0.13146184,0.86853814
301,0.99225724,0.007742737
302,0.99914086,0.00085912284
303,0.08962323,0.9103767
304,0.54334193,0.4566581
305,0.9828745,0.017125426
306,0.1426415,0.85735846
307,0.99317145,0.0068285093
308,0.23884656,0.7611534
309,0.61388093,0.38611904
310,0.06997001,0.93003
311,0.9934041,0.0065959273
312,0.05297407,0.94702595
313,0.051740706,0.9482593
314,0.008270991,0.99172896
315,0.45556536,0.54443467
316,0.9277094,0.07229065
317,0.09763157,0.9023684
318,0.13546798,0.86453205
319,0.9843985,0.015601521
320,0.46111527,0.53888476
321,0.99504143,0.0049586445
322,0.34832293,0.65167713
323,0.08451044,0.91548955
324,0.8532307,0.14676929
325,0.97240543,0.027594531
326,0.17557654,0.8244235
327,0.014394691,0.9856053
328,0.14990166,0.8500983
329,0.9214032,0.07859677
330,0.36874384,0.63125616
331,0.022415806,0.9775842
332,0.9987594,0.0012406153
333,0.10445396,0.895546
334,0.20228231,0.7977177
335,0.08114246,0.9188576
336,0.99735165,0.0026483852
337,0.09315685,0.9068431
338,0.05256996,0.94743
339,0.251213,0.748787
340,0.90539855,0.09460144
341,0.21000497,0.789995
342,0.9156842,0.08431576
343,0.43608966,0.5639103
344,0.7532213,0.2467787
345,0.038333688,0.96166635
346,0.0920116,0.9079884
347,0.04948436,0.9505157
348,0.883907,0.11609304
349,0.070426054,0.9295739
350,0.24828096,0.75171906
351,0.74855685,0.25144315
352,0.10036535,0.8996346
353,0.04737633,0.95262367
354,0.4430494,0.5569506
355,0.14514656,0.8548534
356,0.26792094,0.732079
357,0.088877104,0.91112286
358,0.9978758,0.002124217
359,0.21831425,0.7816857
360,0.29294688,0.70705307
361,0.1502421,0.8497579
362,0.437764,0.5622361
363,0.5556821,0.44431794
364,0.033649724,0.9663502
365,0.9951546,0.00484544
366,0.030863285,0.9691367
367,0.7629778,0.23702225
368,0.26796553,0.7320345
369,0.45902127,0.5409787
370,0.26585278,0.73414725
371,0.74980056,0.2501995
372,0.79992735,0.20007257
373,0.9994349,0.0005651238
374,0.05001152,0.9499884
375,0.054611485,0.9453885
376,0.9598074,0.040192615
377,0.048054293,0.95194566
378,0.58898664,0.41101336
379,0.1947355,0.80526453
380,0.06627168,0.93372834
381,0.047940604,0.95205945
382,0.9973465,0.0026534025
383,0.03799514,0.96200484
384,0.41012022,0.58987975
385,0.10788238,0.8921176
386,0.12656021,0.8734397
387,0.09380942,0.9061906
388,0.020734973,0.979265
389,0.7395148,0.26048514
390,0.2873439,0.7126561
391,0.036584195,0.9634158
392,0.9849784,0.015021561
393,0.7472675,0.25273255
394,0.32953992,0.67046005
395,0.15603818,0.8439618
396,0.15059234,0.8494076
